31
E002184700 N49100100 PERSAN-BEAUMONT
E002263500 N48581500 PARIS LE BOURGET
E002312200 N49150800 CREIL
E002315100 N49004000 PARIS DE GAULLE
E003005600 N48504200 COULOMMIERS VOISIN
E002402000 N48362200 MELUN VILLAROCHE
E002064700 N48450300 TOUSSUS-LE-NOBLE
E002225300 N48432800 PARIS ORLY
E002023100 N49055100 PONTOISE CORMEILLE-EN-VEXIN
E002113300 N48462700 VILLACOUBLAY VELIZY
E002195800 N48354600 BRETIGNY-SUR-ORGE
W000342200 N47295700 ANGERS AVRILLE
W004251200 N48265200 BREST GUIPAVAS
W001282600 N49390600 CHERBOURG MAUPERTUS
W002044200 N48351900 DINARD PLEURTUIT
W002204700 N47172200 LA BAULE
E000095400 N49214700 DEAUVILLE ST.GATIEN
W003261800 N47454100 LORIENT LANN-BIHOU
W001225000 N46421100 LA ROCHE SUR YON
W004090300 N48314900 LANDIVISIAU
W000265500 N49102600 CAEN CARPIQUET
W004264500 N48165500 LANVEOC POULMIC
E000121100 N47565800 LE MANS ARNAGE
W001434600 N48042100 RENNES ST.JACQUES
W003282400 N48451800 LANNION
W004100000 N47583300 QUIMPER
W001362500 N47092500 NANTES ATLANTIQUE
W002511900 N48321900 ST.BRIEUC ARMOR
W003485400 N48360500 MORLAIX PLOUJEAN
W002431900 N47431200 VANNES MEUCON
W002091900 N47184100 ST.NAZAIRE MONTOIR
